Bisasam,Bulbasaur
Magnezone,Magnezone
Schlurplek,Lickilicky
Rihornior,Rhyperior
Tangoloss,Tangrowth
Elevoltek,Electivire
Magbrant,Magmortar
Togekiss,Togekiss
Yanmega,Yanmega
Folipurba,Leafeon
Glaziola,Glaceon
Skorgro,Gliscor
Mamutel,Mamoswine
Porygon-Z,Porygon-Z
Galagladi,Gallade
Voluminas,Probopass
Zwirrfinst,Dusknoir
Frosdedje,Froslass
Rotom,Rotom
Selfe,Uxie
Vesprit,Mesprit
Tobutz,Azelf
Dialga,Dialga
Palkia,Palkia
Heatran,Heatran
Regigigas,Regigigas
Giratina,Giratina
Cresselia,Cresselia
Phione,Phione
Manaphy,Manaphy
Darkrai,Darkrai
Shaymin,Shaymin
Arceus,Arceus
Victini,Victini
Serpifeu,Snivy
Efoserp,Servine
Serpiroyal,Serperior
Floink,Tepig
Ferkokel,Pignite
Flambirex,Emboar
Ottaro,Oshawott
Zwottronin,Dewott
Admurai,Samurott
Nagelotz,Patrat
Kukmarda,Watchog
Yorkleff,Lillipup
Terribark,Herdier
Bissbark,Stoutland
Felilou,Purrloin
Kleoparda,Liepard
Vegimak,Pansage
Vegichita,Simisage
Grillmak,Pansear
Grillchita,Simisear
Sodamak,Panpour
Sodachita,Simipour
Somniam,Munna
Somnivora,Musharna
Dusselgurr,Pidove
Navitaub,Tranquill
Fasasnob,Unfezant
Elezeba,Blitzle
Zebritz,Zebstrika
Kiesling,Roggenrola
Sedimantur,Boldore
Brockoloss,Gigalith
Fleknoil,Woobat
Fletiamo,Swoobat
Rotomurf,Drilbur
Stalobor,Excadrill
Ohrdoch,Audino
Praktibalk,Timburr
Strepoli,Gurdurr
Meistagrif,Conkeldurr
Schallquap,Tympole
Mebrana,Palpitoad
Branawarz,Seismitoad
Jiutesto,Throh
Karadonis,Sawk
Strawickl,Sewaddle
Folikon,Swadloon
Matrifol,Leavanny
Toxiped,Venipede
Rollum,Whirlipede
Cerapendra,Scolipede
Waumboll,Cottonee
Elfun,Whimsicott
Lilminip,Petilil
Dressella,Lilligant
Barschuft,Basculin
Ganovil,Sandile
Rokkaiman,Krokorok
Rabigator,Krookodile
Flampion,Darumaka
Flampivian,Darmanitan
Maracamba,Maractus
Lithomith,Dwebble
Castellith,Crustle
Zurrokex,Scraggy
Irokex,Scrafty
Symvolara,Sigilyph
Makabaja,Yamask
Echnatoll,Cofagrigus
Galapaflos,Tirtouga
Karippas,Carracosta
Flapteryx,Archen
Aeropteryx,Archeops
Unratütox,Trubbish
Deponitox,Garbodor
Zorua,Zorua
Zoroark,Zoroark
Picochilla,Minccino
Chillabell,Cinccino
Mollimorba,Gothita
Hypnomorba,Gothorita
Morbitesse,Gothitelle
Monozyto,Solosis
Mitodos,Duosion
Zytomega,Reuniclus
Piccolente,Ducklett
Swaroness,Swanna
Gelatini,Vanillite
Gelatroppo,Vanillish
Gelatwino,Vanilluxe
Sesokitz,Deerling
Kronjuwild,Sawsbuck
Emolga,Emolga
Laukaps,Karrablast
Cavalanzas,Escavalier
Tarnpignon,Foongus
Hutsassa,Amoonguss
Quabbel,Frillish
Apoquallyp,Jellicent
Mamolida,Alomomola
Wattzapf,Joltik
Voltula,Galvantula
Kastadur,Ferroseed
Tentantel,Ferrothorn
Klikk,Klink
Kliklak,Klang
Klikdiklak,Klinklang
Zapplardin,Tynamo
Zapplalek,Eelektrik
Zapplarang,Eelektross
Pygraulon,Elgyem
Megalon,Beheeyem
Lichtel,Litwick
Laternecto,Lampent
Skelabra,Chandelure
Milza,Axew
Sharfax,Fraxure
Maxax,Haxorus
Petznief,Cubchoo
Siberio,Beartic
Frigometri,Cryogonal
Schnuthelm,Shelmet
Hydragil,Accelgor
Flunschlik,Stunfisk
Lin-Fu,Mienfoo
Wie-Shu,Mienshao
Shardrago,Druddigon
Golbit,Golett
Golgantes,Golurk
Gladiantri,Pawniard
Caesurio,Bisharp
Bisofank,Bouffalant
Geronimatz,Rufflet
Washakwil,Braviary
Skallyk,Vullaby
Grypheldis,Mandibuzz
Furnifraß,Heatmor
Fermicula,Durant
Kapuno,Deino
Duodino,Zweilous
Trikephalo,Hydreigon
Ignivor,Larvesta
Ramoth,Volcarona
Kobalium,Cobalion
Terrakium,Terrakion
Viridium,Virizion
Boreos,Tornadus
Voltolos,Thundurus
Reshiram,Reshiram
Zekrom,Zekrom
Demeteros,Landorus
Kyurem,Kyurem
Keldeo,Keldeo
Meloetta,Meloetta
Genesect,Genesect
Igamaro,Chespin
Igastarnish,Quilladin
Brigaron,Chesnaught
Fynx,Fennekin
Rutena,Braixen
Fennexis,Delphox
Froxy,Froakie
Amphizel,Frogadier
Quajutsu,Greninja
Scoppel,Bunnelby
Grebbit,Diggersby
Dartiri,Fletchling
Dartignis,Fletchinder
Fiaro,Talonflame
Purmel,Scatterbug
Puponcho,Spewpa
Vivillon,Vivillon
Leufeo,Litleo
Pyroleo,Pyroar
Flabébé,Flabébé
Floette,Floette
Florges,Florges
Mähikel,Skiddo
Chevrumm,Gogoat
Pam-Pam,Pancham
Pandagro,Pangoro
Coiffwaff,Furfrou
Psiau,Espurr
Psiaugon,Meowstic
Gramokles,Honedge
Duokles,Doublade
Durengard,Aegislash
Parfi,Spritzee
Parfinesse,Aromatisse
Flauschling,Swirlix
Sabbaione,Slurpuff
Iscalar,Inkay
Calamanero,Malamar
Bithora,Binacle
Thanathora,Barbaracle
Algitt,Skrelp
Tandrak,Dragalge
Scampisto,Clauncher
Wummer,Clawitzer
Eguana,Helioptile
Elezard,Heliolisk
Balgoras,Tyrunt
Monargoras,Tyrantrum
Amarino,Amaura
Amagarga,Aurorus
Feelinara,Sylveon
Resladero,Hawlucha
Dedenne,Dedenne
Rocara,Carbink
Viscora,Goomy
Viscargot,Sliggoo
Viscogon,Goodra
Clavion,Klefki
Paragoni,Phantump
Trombork,Trevenant
Irrbis,Pumpkaboo
Pumpdjinn,Gourgeist
Arktip,Bergmite
Arktilas,Avalugg
eF-eM,Noibat
UHaFnir,Noivern
Xerneas,Xerneas
Yveltal,Yveltal
Zygarde,Zygarde
Diancie,Diancie
Hoopa,Hoopa
Volcanion,Volcanion
Bauz,Rowlet
Arboretoss,Dartrix
Silvarro,Decidueye
Flamiau,Litten
Miezunder,Torracat
Fuegro,Incineroar
Robball,Popplio
Marikeck,Brionne
Primarene,Primarina
Peppeck,Pikipek
Trompeck,Trumbeak
Tukanon,Toucannon
Mangunior,Yungoos
Manguspektor,Gumshoos
Mabula,Grubbin
Akkup,Charjabug
Donarion,Vikavolt
Krabbox,Crabrawler
Krawell,Crabominable
Choreogel,Oricorio
Wommel,Cutiefly
Bandelby,Ribombee
Wuffels,Rockruff
Wolwerock,Lycanroc
Lusardin,Wishiwashi
Garstella,Mareanie
Aggrostella,Toxapex
Pampuli,Mudbray
Pampross,Mudsdale
Araqua,Dewpider
Aranestro,Araquanid
Imantis,Fomantis
Mantidea,Lurantis
Bubungus,Morelull
Lamellux,Shiinotic
Molunk,Salandit
Amfira,Salazzle
Velursi,Stufful
Kosturso,Bewear
Frubberl,Bounsweet
Frubaila,Steenee
Fruyal,Tsareena
Curelei,Comfey
Kommandutan,Oranguru
Quartermak,Passimian
Reißlaus,Wimpod
Tectass,Golisopod
Sankabuh,Sandygast
Colossand,Palossand
Gufa,Pyukumuku
Typ:Null,Tipo Zero
Amigento,Silvally
Meteno,Minior
Koalelu,Komala
Tortunator,Turtonator
Togedemaru,Togedemaru
Mimigma,Mimikyu
Knirfish,Bruxish
Sen-Long,Drampa
Moruda,Dhelmise
Miniras,Jangmo-o
Mediras,Hakamo-o
Grandiras,Kommo-o
Kapu-Riki,Tapu Koko
Kapu-Fala,Tapu Lele
Kapu-Toro,Tapu Bulu
Kapu-Kime,Tapu Fini
Cosmog,Cosmog
Cosmovum,Cosmoem
Solgaleo,Solgaleo
Lunala,Lunala
Anego,Nihilego
Masskito,Buzzwole
Schabelle,Pheromosa
Voltriant,Xurkitree
Kaguron,Celesteela
Katagami,Kartana
Schlingking,Guzzlord
Necrozma,Necrozma
Magearna,Magearna
Marshadow,Marshadow
Venicro,Poipole
Agoyon,Naganadel
Muramura,Stakataka
Kopplosio,Blacephalon
Zeraora,Zeraora
Meltan,Meltan
Melmetal,Melmetal
Chimpep,Grookey
Chimstix,Thwackey
Gortrom,Rillaboom
Hopplo,Scorbunny
Kickerlo,Raboot
Liberlo,Cinderace
Memmeon,Sobble
Phlegleon,Drizzile
Intelleon,Inteleon
Raffel,Skwovet
Schlaraffel,Greedent
Meikro,Rookidee
Kranoviz,Corvisquire
Krarmor,Corviknight
Sensect,Blipbug
Keradar,Dottler
Maritellit,Orbeetle
Kleptifux,Nickit
Gaunux,Thievul
Cottini,Gossifleur
Cottomi,Eldegoss
Wolly,Wooloo
Zwollock,Dubwool
Kamehaps,Chewtle
Kamalm,Drednaw
Voldi,Yamper
Bellektro,Boltund
Klonkett,Rolycoly
Wagong,Carkol
Montecarbo,Coalossal
Knapfel,Applin
Drapfel,Flapple
Schlapfel,Appletun
Salanga,Silicobra
Sanaconda,Sandaconda
Urgl,Cramorant
Pikuda,Arrokuda
Barrakiefa,Barraskewda
Toxel,Toxel
Riffex,Toxtricity
Thermopod,Sizzlipede
Infernopod,Centiskorch
Klopptopus,Clobbopus
Kaocto,Grapploct
Fatalitee,Sinistea
Mortipot,Polteageist
Brimova,Hatenna
Brimano,Hattrem
Silembrim,Hatterene
Bähmon,Impidimp
Pelzebub,Morgrem
Olangaar,Grimmsnarl
Barrikadax,Obstagoon
Mauzinger,Perrserker
Gorgasonn,Cursola
Lauchzelot,Sirfetch'd,
Pantifrost,Mr. Rime
Oghnatoll,Runerigus
Hokumil,Milcery
Pokusan,Alcremie
Legios,Falinks
Britzigel,Pincurchin
Snomnom,Snom
Mottineva,Frosmoth
Humanolith,Stonjourner
Kubuin,Eiscue
Servol,Indeedee
Morpeko,Morpeko
Kupfanti,Cufant
Patinaraja,Copperajah
Lectragon,Dracozolt
Lecryodon,Arctozolt
Pescragon,Dracovish
Pescryodon,Arctovish
Duraludon,Duraludon
Grolldra,Dreepy
Phandra,Drakloak
Katapuldra,Dragapult
Zacian,Zacian
Zamazenta,Zamazenta
Endynalos,Eternatus
Dakuma,Kubfu
Wulaosu,Urshifu
Zarude,Zarude
Regieleki,Regieleki
Regidrago,Regidrago
Polaross,Glastrier
Phantoross,Spectrier
Coronospa,Calyrex
